name,address,price_range,start_price,end_price,category,sub_category,bookmark,positive,negative
Park café,"4/F, Park Hotel Hong Kong, 61-65 Chatham Road South, Tsim Sha Tsui",$201-400,201,400,Western,Buffet,28800,233,57
Heisei 平成,"Shop 17, G/F, The Pinnacle, 8 Minden Avenue, Tsim Sha Tsui",$101-200,101,200,Japanese,Izakaya,5500,242,7
La Famille,"Kiosk 5, 2/F, Ocean Centre, Harbour City, 3-27 Canton Road, Tsim Sha Tsui",$201-400,201,400,Japanese,Dessert,2800,154,0
AFURI Ramen + Dumpling (The ONE) 阿夫利拉麵 (The ONE),"i.t orange forest, 2/F, THE ONE, 100 Nathan Road, Tsim Sha Tsui",$101-200,101,200,Japanese,Ramen,11200,195,10
Coucou Hotpot‧Tea Break (K11 Art Mall) 湊湊火鍋‧茶憩 (K11購物藝術館),"Shop B124, B1/F, K11 Art Mall, 18 Hanoi Road, Tsim Sha Tsui",$201-400,201,400,Taiwan,Hot Pot,18700,111,6
Lemna of the alchemist 牧羊少年與他的浮萍,"G/F, Hong Kong Cultural Centre, 10 Salisbury Road, Tsim Sha Tsui",$51-100,51,100,Western,All Day Breakfast,9300,134,0
Avenue75,"Shop 36-41, G/F, South Seas Centre, 75 Mody Road, Tsim Sha Tsui",$101-200,101,200,International,Hotel Restaurant,2600,137,1
Owl's Choux,"G/F, 32 Mody Road, Tsim Sha Tsui",Below $50,50,50,Japanese,Dessert,25000,261,6
Guts Soul 燒魂,"2/F, Cameron Centre, 57-59 Chatham Road, Tsim Sha Tsui",$201-400,201,400,Japanese,All-you-can-eat,30000,552,125
PUTIEN (Mira Place Two) 莆田 (美麗華廣場2期),"Shop 269-270, 2/F, Mira Place Two, 118 -130 Nathan Road, Tsim Sha Tsui",$101-200,101,200,Fujian,Seafood,11800,698,4
